Entity,Code,Year,Primary energy consumption (TWh)
India,IND,1965,619.4515
India,IND,1966,638.4138
India,IND,1967,658.4335
India,IND,1968,703.9852
India,IND,1969,780.436
India,IND,1970,763.7408
India,IND,1971,794.3862
India,IND,1972,835.8586
India,IND,1973,853.3237
India,IND,1974,903.9876
India,IND,1975,972.01117
India,IND,1976,1019.45404
India,IND,1977,1078.32
India,IND,1978,1120.9728
India,IND,1979,1182.9589
India,IND,1980,1218.5989
India,IND,1981,1349.2844
India,IND,1982,1336.049
India,IND,1983,1405.0502
India,IND,1984,1500.9186
India,IND,1985,1584.2627
India,IND,1986,1695.5905
India,IND,1987,1802.8535
India,IND,1988,1962.3014
India,IND,1989,2143.4136
India,IND,1990,2300.7012
India,IND,1991,2427.6628
India,IND,1992,2552.772
India,IND,1993,2616.248
India,IND,1994,2757.121
India,IND,1995,2963.118
India,IND,1996,3081.6313
India,IND,1997,3252.0098
India,IND,1998,3449.4966
India,IND,1999,3546.3625
India,IND,2000,3725.401
India,IND,2001,3740.8735
India,IND,2002,3870.8083
India,IND,2003,4008.7097
India,IND,2004,4352.6514
India,IND,2005,4608.417
India,IND,2006,4854.8667
India,IND,2007,5268.96
India,IND,2008,5576.529
India,IND,2009,5991.8525
India,IND,2010,6251.326
India,IND,2011,6592.3706
India,IND,2012,6948.685
India,IND,2013,7178.7197
India,IND,2014,7664.0034
India,IND,2015,7929.679
India,IND,2016,8284.972
India,IND,2017,8600.742
India,IND,2018,9088.107
India,IND,2019,9317.351
India,IND,2020,8828.374
India,IND,2021,9585.078
India,IND,2022,10103.183
India,IND,2023,10837.855
