-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS2M,2015,26.0,76.875,1.45,1.74,1.78,1.99,2.84,2.68,3.07,2.29,2.03,1.33,1.22,1.29,1.98
WS2M,2015,26.0,77.5,1.49,1.78,1.79,2.0,2.81,2.75,3.08,2.34,2.21,1.46,1.2,1.38,2.02
WS2M,2015,26.0,78.125,1.46,1.64,1.72,1.84,2.71,2.79,3.14,2.22,2.24,1.44,1.17,1.37,1.98
WS2M,2015,26.0,78.75,1.43,1.53,1.68,1.79,2.53,2.76,2.91,2.03,2.12,1.29,1.12,1.35,1.88
WS2M,2015,26.0,79.375,1.47,1.55,1.73,1.93,2.49,2.86,2.96,2.15,2.27,1.33,1.16,1.4,1.94
WS2M,2015,26.0,80.0,1.53,1.6,1.83,2.06,2.41,2.86,3.07,2.26,2.39,1.36,1.21,1.45,2.0
WS2M,2015,26.5,76.875,1.38,1.65,1.74,1.88,2.82,2.58,2.94,2.28,2.08,1.35,1.29,1.28,1.94
WS2M,2015,26.5,77.5,1.39,1.6,1.73,1.83,2.63,2.62,2.87,2.18,2.12,1.36,1.2,1.3,1.9
WS2M,2015,26.5,78.125,1.42,1.55,1.73,1.77,2.54,2.64,2.85,2.11,2.15,1.34,1.23,1.35,1.89
WS2M,2015,26.5,78.75,1.5,1.55,1.78,1.81,2.46,2.72,2.8,1.98,2.07,1.31,1.23,1.39,1.88
WS2M,2015,26.5,79.375,1.59,1.61,1.84,1.95,2.45,2.79,2.93,2.04,2.13,1.33,1.29,1.45,1.95
WS2M,2015,26.5,80.0,1.61,1.64,1.9,2.05,2.36,2.78,2.99,2.1,2.2,1.37,1.35,1.47,1.98
WS2M,2015,27.0,76.875,1.35,1.56,1.73,1.79,2.65,2.48,2.84,2.11,2.01,1.39,1.33,1.33,1.88
WS2M,2015,27.0,77.5,1.38,1.51,1.73,1.76,2.47,2.51,2.76,1.96,1.95,1.34,1.24,1.33,1.83
WS2M,2015,27.0,78.125,1.47,1.53,1.77,1.76,2.38,2.54,2.78,1.92,2.0,1.38,1.28,1.4,1.85
WS2M,2015,27.0,78.75,1.58,1.59,1.83,1.84,2.36,2.6,2.79,1.88,1.97,1.36,1.3,1.45,1.88
WS2M,2015,27.0,79.375,1.71,1.63,1.9,1.95,2.39,2.7,2.79,1.9,1.99,1.37,1.4,1.51,1.94
WS2M,2015,27.0,80.0,1.8,1.67,2.0,2.06,2.35,2.76,2.78,1.97,2.07,1.43,1.49,1.58,2.0
WS2M,2015,27.5,76.875,1.38,1.54,1.71,1.73,2.57,2.44,2.66,1.96,1.99,1.46,1.35,1.48,1.86
WS2M,2015,27.5,77.5,1.44,1.47,1.78,1.69,2.35,2.43,2.67,1.85,1.93,1.42,1.32,1.44,1.82
WS2M,2015,27.5,78.125,1.59,1.55,1.86,1.75,2.33,2.44,2.72,1.87,1.97,1.49,1.37,1.52,1.87
WS2M,2015,27.5,78.75,1.75,1.64,1.93,1.83,2.31,2.49,2.67,1.85,1.93,1.46,1.45,1.6,1.91
WS2M,2015,27.5,79.375,1.87,1.69,2.03,1.97,2.34,2.56,2.52,1.83,1.9,1.44,1.53,1.65,1.94
WS2M,2015,27.5,80.0,1.89,1.71,2.12,2.07,2.25,2.59,2.48,1.79,1.89,1.42,1.57,1.64,1.95
WS2M,2015,28.0,76.875,1.49,1.57,1.75,1.72,2.57,2.35,2.48,1.9,1.97,1.51,1.35,1.6,1.85
WS2M,2015,28.0,77.5,1.57,1.51,1.86,1.65,2.36,2.3,2.37,1.76,1.88,1.43,1.37,1.57,1.8
WS2M,2015,28.0,78.125,1.73,1.61,1.96,1.75,2.37,2.31,2.41,1.81,1.92,1.5,1.48,1.65,1.87
WS2M,2015,28.0,78.75,1.87,1.7,2.07,1.87,2.36,2.36,2.28,1.76,1.8,1.44,1.57,1.68,1.9
WS2M,2015,28.0,79.375,2.0,1.74,2.21,1.99,2.31,2.43,2.19,1.73,1.71,1.38,1.64,1.66,1.92
WS2M,2015,28.0,80.0,2.08,1.8,2.34,2.07,2.19,2.4,2.17,1.78,1.77,1.43,1.68,1.66,1.95
WS2M,2015,28.5,76.875,1.6,1.59,1.84,1.69,2.56,2.28,2.3,1.83,1.95,1.46,1.38,1.66,1.85
WS2M,2015,28.5,77.5,1.77,1.64,1.97,1.71,2.45,2.24,2.07,1.71,1.88,1.46,1.49,1.77,1.85
WS2M,2015,28.5,78.125,1.88,1.74,2.09,1.85,2.41,2.3,2.13,1.78,1.92,1.51,1.64,1.78,1.92
WS2M,2015,28.5,78.75,2.07,1.85,2.28,2.0,2.38,2.43,2.04,1.77,1.82,1.47,1.75,1.78,1.97
WS2M,2015,28.5,79.375,2.1,1.86,2.38,2.05,2.28,2.41,1.98,1.82,1.64,1.33,1.7,1.66,1.93
WS2M,2015,28.5,80.0,1.78,1.7,2.26,2.02,2.1,2.23,1.92,1.8,1.56,1.3,1.54,1.46,1.81
WS2M,2015,29.0,76.875,1.72,1.65,1.97,1.7,2.52,2.31,2.09,1.79,1.95,1.42,1.47,1.77,1.86
WS2M,2015,29.0,77.5,1.9,1.76,2.12,1.82,2.44,2.28,1.89,1.7,1.86,1.46,1.63,1.88,1.9
WS2M,2015,29.0,78.125,1.89,1.81,2.24,1.95,2.36,2.37,1.98,1.77,1.91,1.51,1.69,1.74,1.93
WS2M,2015,29.0,78.75,1.82,1.79,2.27,1.98,2.24,2.38,1.87,1.73,1.68,1.41,1.63,1.58,1.86
WS2M,2015,29.0,79.375,1.75,1.77,2.23,1.99,2.19,2.23,1.74,1.72,1.58,1.44,1.66,1.55,1.82
WS2M,2015,29.0,80.0,1.59,1.66,1.99,1.91,2.18,2.03,1.62,1.67,1.55,1.49,1.59,1.5,1.73
WS2M,2016,26.0,76.875,1.41,1.7,1.77,2.37,2.99,2.41,2.22,2.37,1.68,1.39,1.24,1.19,1.89
WS2M,2016,26.0,77.5,1.44,1.72,1.81,2.46,2.9,2.35,2.25,2.39,1.85,1.58,1.43,1.33,1.96
WS2M,2016,26.0,78.125,1.34,1.59,1.69,2.4,2.74,2.24,2.22,2.28,1.78,1.61,1.48,1.34,1.89
WS2M,2016,26.0,78.75,1.28,1.5,1.64,2.28,2.47,2.23,2.15,2.19,1.69,1.52,1.47,1.33,1.81
WS2M,2016,26.0,79.375,1.32,1.52,1.67,2.32,2.35,2.41,2.19,2.25,1.72,1.43,1.47,1.33,1.83
