-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2015,26.0,76.875,51.93,39.87,47.87,38.11,20.57,37.88,69.88,79.45,64.27,44.17,40.42,29.33,46.98
RH2M,2015,26.0,77.5,56.01,44.42,51.73,40.7,22.49,38.02,72.93,79.36,65.16,47.26,39.18,30.87,49.01
RH2M,2015,26.0,78.125,52.88,41.58,47.79,39.95,21.87,35.83,70.78,78.84,62.49,45.12,41.13,33.36,47.64
RH2M,2015,26.0,78.75,52.43,41.91,47.76,39.85,22.33,34.66,71.01,78.38,64.37,46.83,41.96,35.62,48.09
RH2M,2015,26.0,79.375,52.39,41.62,47.54,38.1,21.06,33.86,69.14,73.52,61.0,45.08,40.8,32.7,46.4
RH2M,2015,26.0,80.0,51.32,40.25,46.22,36.8,20.08,32.66,66.17,67.3,56.43,42.59,38.33,31.44,44.13
RH2M,2015,26.5,76.875,52.24,40.28,50.08,40.31,20.6,35.53,68.01,73.78,58.18,41.55,38.52,28.84,45.66
RH2M,2015,26.5,77.5,51.62,40.75,47.47,39.91,22.42,33.36,68.28,74.19,58.83,43.24,40.91,33.51,46.21
RH2M,2015,26.5,78.125,51.51,40.7,47.0,40.0,21.95,32.68,66.98,73.29,57.02,42.13,40.41,32.34,45.5
RH2M,2015,26.5,78.75,51.01,41.02,47.08,39.93,21.99,32.7,68.8,73.57,58.79,43.65,41.37,34.65,46.21
RH2M,2015,26.5,79.375,50.21,40.54,46.29,38.84,20.61,32.25,67.33,70.06,57.26,42.89,40.62,33.5,45.03
RH2M,2015,26.5,80.0,49.64,39.74,45.81,37.94,19.36,31.64,65.38,65.27,53.87,40.52,37.35,31.95,43.21
RH2M,2015,27.0,76.875,49.92,37.87,46.71,39.57,20.49,33.19,61.61,66.6,50.79,37.02,38.08,28.04,42.49
RH2M,2015,27.0,77.5,51.18,40.0,46.6,40.02,21.99,31.98,61.09,66.8,52.67,39.64,40.4,31.92,43.69
RH2M,2015,27.0,78.125,50.59,39.69,46.48,39.83,21.41,31.78,60.85,67.48,52.1,39.06,39.45,30.13,43.24
RH2M,2015,27.0,78.75,50.07,39.71,46.44,39.78,21.22,31.87,63.95,69.24,54.05,40.74,40.33,31.37,44.06
RH2M,2015,27.0,79.375,49.6,39.97,46.49,39.46,19.81,32.06,67.16,69.32,54.55,41.46,39.55,30.8,44.19
RH2M,2015,27.0,80.0,49.1,39.95,46.69,39.36,19.13,31.8,68.35,68.15,53.38,40.42,36.91,31.04,43.69
RH2M,2015,27.5,76.875,50.36,37.7,47.03,40.08,19.73,33.4,60.42,64.87,48.56,35.49,36.97,27.41,41.83
RH2M,2015,27.5,77.5,51.22,39.2,46.43,39.94,20.82,31.66,59.59,65.46,49.73,38.15,39.15,29.32,42.56
RH2M,2015,27.5,78.125,51.0,38.62,46.77,39.68,20.09,31.71,60.14,66.71,49.15,36.74,37.68,28.69,42.25
RH2M,2015,27.5,78.75,50.38,39.37,46.97,39.81,20.12,31.93,64.58,69.51,52.38,40.44,39.55,29.53,43.71
RH2M,2015,27.5,79.375,50.2,40.34,47.78,40.25,19.4,32.47,71.4,73.91,56.5,43.25,40.83,31.07,45.62
RH2M,2015,27.5,80.0,50.27,41.41,48.78,41.05,19.99,33.0,74.01,76.65,59.13,44.14,40.07,32.35,46.74
RH2M,2015,28.0,76.875,52.43,38.4,49.32,41.29,19.16,34.95,62.99,67.09,49.71,35.7,36.18,27.27,42.87
RH2M,2015,28.0,77.5,52.12,39.62,47.64,40.25,19.85,32.64,64.16,68.91,50.06,39.29,39.02,28.79,43.53
RH2M,2015,28.0,78.125,52.09,39.11,48.05,39.96,19.26,32.51,63.92,69.8,49.36,38.48,37.31,27.99,43.15
RH2M,2015,28.0,78.75,51.75,40.23,48.63,40.36,19.5,32.59,70.6,75.06,56.04,42.76,41.03,30.49,45.75
RH2M,2015,28.0,79.375,51.68,41.66,50.18,41.13,19.71,33.42,76.77,80.11,66.16,47.71,43.33,34.93,48.9
RH2M,2015,28.0,80.0,51.37,42.87,51.41,42.09,21.02,34.75,77.99,81.12,69.15,48.63,43.29,35.23,49.91
RH2M,2015,28.5,76.875,52.16,38.99,49.6,40.98,19.18,35.15,64.37,68.09,48.62,37.62,35.47,26.84,43.09
RH2M,2015,28.5,77.5,52.03,40.23,49.57,40.58,19.36,33.91,68.18,72.62,51.09,40.94,38.93,27.88,44.61
RH2M,2015,28.5,78.125,51.87,39.95,49.94,40.68,19.08,33.67,67.61,73.47,51.38,41.13,37.88,28.25,44.58
RH2M,2015,28.5,78.75,52.05,41.54,50.96,41.32,20.01,33.82,73.52,78.51,60.6,46.18,42.87,33.53,47.91
RH2M,2015,28.5,79.375,52.95,43.64,52.89,42.22,21.01,34.93,78.19,82.19,70.21,51.93,44.92,38.82,51.16
RH2M,2015,28.5,80.0,54.98,46.05,55.54,44.36,23.4,37.3,80.23,84.09,74.13,53.79,45.54,40.44,53.32
RH2M,2015,29.0,76.875,51.25,40.74,51.21,41.61,19.89,35.04,66.04,69.8,49.13,40.17,36.84,27.57,44.11
RH2M,2015,29.0,77.5,51.24,41.31,52.26,41.64,19.77,34.69,71.23,76.66,55.55,43.52,40.33,29.51,46.48
RH2M,2015,29.0,78.125,52.06,41.57,52.6,42.16,20.24,34.45,69.73,76.61,56.09,44.45,40.53,31.89,46.87
RH2M,2015,29.0,78.75,53.05,42.95,53.75,43.29,21.81,35.15,74.13,80.13,64.83,49.04,44.28,38.91,50.11
RH2M,2015,29.0,79.375,51.95,43.88,53.93,44.07,23.55,36.98,79.06,83.78,70.78,51.81,44.8,40.2,52.07
