-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2015,26.5,77.5,2.94,4.92,5.6,6.64,7.43,6.4,5.13,5.1,5.98,5.27,3.91,3.76,5.26
ALLSKY_SFC_SW_DWN,2015,26.5,78.5,2.39,4.65,5.47,6.4,7.28,6.43,5.08,5.08,5.73,4.94,3.67,3.46,5.05
ALLSKY_SFC_SW_DWN,2015,26.5,79.5,2.26,4.55,5.51,6.25,7.2,6.33,5.32,5.23,5.67,4.85,3.68,3.45,5.03
ALLSKY_SFC_SW_DWN,2015,27.5,77.5,2.43,4.56,5.31,6.43,7.17,6.11,4.98,5.09,5.8,4.9,3.54,3.26,4.97
ALLSKY_SFC_SW_DWN,2015,27.5,78.5,2.11,4.3,5.35,6.33,7.06,6.29,5.03,5.03,5.64,4.81,3.5,3.03,4.87
ALLSKY_SFC_SW_DWN,2015,27.5,79.5,2.08,4.25,5.35,6.19,7.09,6.22,5.16,5.01,5.5,4.7,3.48,3.01,4.84
ALLSKY_SFC_SW_DWN,2015,28.5,77.5,2.42,4.34,5.14,6.3,7.09,6.14,4.91,4.97,5.76,4.81,3.37,3.09,4.86
ALLSKY_SFC_SW_DWN,2015,28.5,78.5,1.96,4.04,5.14,6.2,6.99,6.08,4.96,4.86,5.48,4.68,3.35,2.86,4.72
ALLSKY_SFC_SW_DWN,2015,28.5,79.5,1.93,3.97,5.19,6.15,7.01,5.95,5.09,4.78,5.42,4.59,3.33,2.83,4.69
ALLSKY_SFC_SW_DWN,2016,26.5,77.5,3.76,4.89,5.82,7.0,7.1,6.2,4.3,4.46,5.45,5.07,4.44,3.8,5.19
ALLSKY_SFC_SW_DWN,2016,26.5,78.5,3.36,4.61,5.66,6.78,6.69,6.06,4.23,4.69,5.16,4.88,4.02,3.2,4.95
ALLSKY_SFC_SW_DWN,2016,26.5,79.5,3.45,4.6,5.73,6.71,6.65,6.0,4.26,4.82,5.0,4.92,4.0,3.03,4.93
ALLSKY_SFC_SW_DWN,2016,27.5,77.5,2.99,4.52,5.66,6.68,6.59,6.03,4.08,4.62,5.25,4.67,3.83,3.16,4.84
ALLSKY_SFC_SW_DWN,2016,27.5,78.5,2.89,4.37,5.6,6.59,6.43,5.96,4.31,4.92,5.19,4.58,3.73,2.86,4.79
ALLSKY_SFC_SW_DWN,2016,27.5,79.5,2.92,4.38,5.6,6.55,6.43,5.8,4.11,5.16,5.02,4.51,3.73,2.76,4.75
ALLSKY_SFC_SW_DWN,2016,28.5,77.5,2.89,4.32,5.5,6.59,6.5,6.06,4.24,4.76,5.27,4.54,3.72,3.09,4.79
ALLSKY_SFC_SW_DWN,2016,28.5,78.5,2.71,4.09,5.39,6.54,6.32,5.93,4.2,4.95,5.09,4.41,3.64,2.74,4.67
ALLSKY_SFC_SW_DWN,2016,28.5,79.5,2.77,4.04,5.36,6.49,6.33,5.63,4.17,5.32,4.96,4.44,3.68,2.62,4.65
ALLSKY_SFC_SW_DWN,2017,26.5,77.5,3.67,5.11,6.16,7.17,6.92,6.35,4.72,4.53,5.07,5.27,3.89,3.48,5.19
ALLSKY_SFC_SW_DWN,2017,26.5,78.5,3.31,4.92,6.01,7.01,6.75,6.15,4.35,4.34,4.94,4.95,3.61,3.11,4.95
